5프레임	15프레임		30프레임
0.03	0		0
0.03	0.04		0
0	0.04		0
0.03	-0.04		-0.03
0.03	0.03		0
0.03	-0.03		0
0	-0.04		0
0.08	0.03		0
0.08	0.03		0.03
-0.14	0.03		0
0.07	0		0
-0.12	0		0
0.07	-0.03		0
-0.1	0.03		0
0.07	-0.03		0
0.08	0		0
0.06	0		0
-0.1	0.03		0.03
-0.14	0		0
0.07	0		0
0.07	-0.06		0
0.08	0		0
0.07	0		0.03
-0.12	-0.06		0.03
0.07	0		0
0.08	0.03		0
0.09	0		0
-0.12	0.03		0
0.08	0.03		0
-0.1	-0.03		0.03
0.07	0		0
-0.1	0		0.01
0.08	0		0
-0.12	-0.03		-0.03
0.08	-0.03		0
0.07	0.04		0
-0.12	-0.03		0
0.07	0.03		0
0.07	0.03		0
-0.12	-0.03		0
0.07	0.03		0
-0.12	0		0
0.08	0		0
0.06	0		0
0.08	-0.03		0
-0.12	0.04		0.04
0.08	-0.03		0
0.07	0.04		0
-0.12	-0.04		0
-0.12	0.05		0
			
5프레임	15프레임		30프레임
0.0806	0.023		0.0052
0.0054	0.0014		0.0028
			
0.14	0.06		0.04
